Entity,Code,Year,Pesticides Use - Herbicides - 1320 - Agricultural Use - 5157 - tonnes,Pesticides Use - Insecticides - 1309 - Agricultural Use - 5157 - tonnes,Pesticides Use - Fungicides and Bactericides - 1331 - Agricultural Use - 5157 - tonnes,Pesticides Use - Rodenticides - 1345 - Agricultural Use - 5157 - tonnes,Pesticides Use - Plant Growth Regulators - 1341 - Agricultural Use - 5157 - tonnes,Pesticides Use - Other Pesticides nes - 1359 - Agricultural Use - 5157 - tonnes
Albania,ALB,1993,5,70,44,2,,
Albania,ALB,1994,7,117,74,3,,
Albania,ALB,1995,8,145,94,4,,
Albania,ALB,2009,7.97,213.88,126.85,13.91,15.66,
Albania,ALB,2010,6.91,375.8,188.53,9.3,0.35,
Albania,ALB,2011,19.7,317.07,208.6,24.48,1.23,
Albania,ALB,2012,9.77,157.57,177.46,0.59,2.46,
Albania,ALB,2013,22.33,214.13,182.48,18.48,2.5,
Albania,ALB,2014,27.65,34.48,277.58,47.78,,
Albania,ALB,2015,40.2,184.59,290.44,68.13,0.27,
Albania,ALB,2016,19.94,226.3,285.23,117.45,,
Albania,ALB,2017,33.28,237.59,296.63,103.04,,
Algeria,DZA,1990,99.28,1187.92,3275.4,,,121.53
Algeria,DZA,1991,129.54,1993.92,3712.8,,,198.79
Algeria,DZA,1992,69.7,708.35,1898.4,,,140.39
Algeria,DZA,1993,100.98,607.6,1909.8,,,32.29
Algeria,DZA,1994,134.3,695.33,2084.4,,,85.25
Algeria,DZA,1995,544.34,1399.34,2999.4,,,253.21
Algeria,DZA,1996,72.42,496.62,553.8,,,8.71
Algeria,DZA,1997,81.94,553.04,106.8,,,21.04
Algeria,DZA,1998,69.02,87.73,215.4,,,67.47
Algeria,DZA,1999,126.48,325.19,633,,,84.16
Algeria,DZA,2004,102.09,1380.5,1148.26,,1059.34,
Algeria,DZA,2005,151.7,308.93,1099.13,,1166.68,
Algeria,DZA,2006,180.34,236.4,608.06,,1395.05,
Algeria,DZA,2007,201.07,706.95,779.25,,1791.1,
Algeria,DZA,2008,322.33,391.41,742.94,,4179.27,
Algeria,DZA,2009,202.64,497.12,1207.01,,1177.48,
Algeria,DZA,2010,261.27,203.36,1123.39,,197.4,
Algeria,DZA,2011,332.52,459.73,1800,,4935.8,
Algeria,DZA,2012,357,392.77,1848.6,,6297.64,
Algeria,DZA,2013,301.24,287.37,1216.8,,6380,
Algeria,DZA,2014,282.2,381.3,1203,,5200.86,
Algeria,DZA,2015,205.65,323.43,1739.98,,2163.71,
Algeria,DZA,2016,208.78,251.44,1171.26,,2437.74,
Algeria,DZA,2017,286.32,366.99,1576.85,,3753.03,
Angola,AGO,1992,2,13,8,,,
Angola,AGO,1993,1,153,13,2,,
Angola,AGO,1994,1,22,0.5,2,,
Angola,AGO,1995,129,205,1,1,,
Angola,AGO,1996,1,37,1,1,,
Angola,AGO,1990,,56,5,3,,
Angola,AGO,1991,,74,5,,,
Antigua and Barbuda,ATG,2010,3.7,3.28,0.54,,,
Antigua and Barbuda,ATG,2011,18.65,18.92,1.69,,,
Antigua and Barbuda,ATG,2012,4.53,22.51,2.56,,0.01,
Antigua and Barbuda,ATG,2013,15.39,7.43,2.35,,0.01,
Antigua and Barbuda,ATG,2015,17.3,8.82,,,,
Argentina,ARG,1993,17533,3503,4799,2,319,
Argentina,ARG,1994,19376,4883,5641,2,293,
Argentina,ARG,1995,24863,6188,6297,3,491,
Argentina,ARG,1996,38185,9456,6107,3,844,
Argentina,ARG,1997,55171,12535,9064,3,918,
Argentina,ARG,1998,47355,7964,6041,3,270,
Argentina,ARG,2006,137191.23,7376.47,1794.17,3.15,6.49,2066.67
Argentina,ARG,2007,172246.7,9340.61,2486.47,2.7,12.85,1528.32
Argentina,ARG,2008,190431.57,7380.82,2661.32,3.15,12.01,1662.55
Argentina,ARG,2009,129017.16,6260.37,1984.76,4.5,9.15,1555.53
Argentina,ARG,2010,216992.99,10469.75,3730.56,0.9,17.01,3219.17
Argentina,ARG,2011,202811.11,9175.19,3852.63,0.9,25.34,3390.75
Argentina,ARG,2014,194257.3,7919.3,3955.7,50.4,33,
Argentina,ARG,2017,183685.7,3736.03,4198.1,,46.4,
Armenia,ARM,1993,3,4,1,,,
Armenia,ARM,1994,6,11,2,4,,
Armenia,ARM,1995,2,13,2.9,6,,
Armenia,ARM,1996,4,20,5,3,,
Armenia,ARM,2003,13.56,20.89,44.46,0.07,,
Armenia,ARM,2004,18.44,30.68,70.9,9.79,,
Armenia,ARM,2005,41.94,41.27,120.74,15.2,,
Armenia,ARM,2006,28.14,43.09,137.04,18.4,,
Armenia,ARM,2007,21.06,63.8,140.17,16,,
Armenia,ARM,2008,32.84,73.02,92.87,14.4,1.78,
Armenia,ARM,2009,48.7,46.67,102.38,0,,
Armenia,ARM,2010,56.81,51.95,136.78,33.16,,
Australia,AUS,1990,12337,3999,1280,,,250
Australia,AUS,1991,12337,3999,1280,,,250
Australia,AUS,1992,15353,4977,1593,,,311
Australia,AUS,1993,16502,5350,1712,,,335
Australia,AUS,1994,14540,4713,1509,,,295
Australia,AUS,1995,17675,5730,1834,,,359
Australia,AUS,1996,22449,6214,2055,,,467
Australia,AUS,1997,24245,7146,2219,,,481
Australia,AUS,1998,25592,8638,2527,,,458
Australia,AUS,1999,22000,8700,3000,,,500
Australia,AUS,2000,23114,7493,2399,,,469
Australia,AUS,2001,22586,7322,2344,,,458
Australia,AUS,2002,18402,5966,1910,,,373
Australia,AUS,2003,22384,7257,2323,,,454
Australia,AUS,2004,25049,8120,2599,,,508
Australia,AUS,2005,23691,7680,2458,,,481
Australia,AUS,2006,24789,8036,2572,,,503
Australia,AUS,2007,22403.9,7262.97,2324.91,,,454.47
Australia,AUS,2008,29646.57,9610.92,3076.5,,,601.39
Australia,AUS,2009,26284.08,8520.86,2727.56,,,533.18
Australia,AUS,2010,29117.66,9439.46,3021.61,,,590.66
Australia,AUS,2011,32890.23,10662.47,3413.1,,,667.19
Australia,AUS,2012,33618.62,10898.6,3488.69,,,681.97
Australia,AUS,2013,31194.52,10112.74,3237.13,,,632.79
Australia,AUS,2014,34426.14,11160.38,3572.49,,,698.35
Australia,AUS,2015,35161,11398.61,3648.74,,,713.25
Australia,AUS,2016,43788.62,14195.54,4544.05,,,888.27
Austria,AUT,1990,1945,285,1683,1,40,
Austria,AUT,1991,2167,157,1843,1,44,
Austria,AUT,1992,1859,143,1483,5,75,
Austria,AUT,1993,1873,141,1580,1,64,
Austria,AUT,1994,1549,137,1560,3,41,
Austria,AUT,1995,1607,123,1409,1,17,
Austria,AUT,1996,1536,98,1697,1,14,
Austria,AUT,1997,1601,100,1685,1,10,0.6
Austria,AUT,1998,1603,87,1473,1,12,0.3
Austria,AUT,1999,1659,90,1393,2,5,0.6
Austria,AUT,2000,1608.9,104.5,1598.4,2.6,9.1,10.2
Austria,AUT,2001,1435.5,99,1335.7,1.6,8.6,8.5
Austria,AUT,2002,1458.5,97.3,1299.9,1.4,10.8,15.2
Austria,AUT,2003,1434.2,108.2,1706.4,1.2,10.4,12.5
Austria,AUT,2004,1532.2,119.1,1487.8,0.8,6.6,16.6
Austria,AUT,2005,1464.7,144.1,1644.6,1.1,9.5,21.2
